Package,LibPath,Version,Priority,Built
speedglm,/Users/jenny/resources/R/library,0.3-2,NA,3.5.0
spelling,/Users/jenny/resources/R/library,1.2,NA,3.5.0
SQUAREM,/Users/jenny/resources/R/library,2017.10-1,NA,3.5.0
StanHeaders,/Users/jenny/resources/R/library,2.18.0,NA,3.5.0
statnet.common,/Users/jenny/resources/R/library,4.1.4,NA,3.5.0
stringdist,/Users/jenny/resources/R/library,0.9.5.1,NA,3.5.0
stringi,/Users/jenny/resources/R/library,1.2.4,NA,3.5.0
stringr,/Users/jenny/resources/R/library,1.3.1,NA,3.5.0
styler,/Users/jenny/resources/R/library,1.1.0,NA,3.5.0
survey,/Users/jenny/resources/R/library,3.34,NA,3.5.0
sysfonts,/Users/jenny/resources/R/library,0.8,NA,3.5.0
tesseract,/Users/jenny/resources/R/library,4.0,NA,3.5.0
testit,/Users/jenny/resources/R/library,0.8,NA,3.5.0
testthat,/Users/jenny/resources/R/library,2.0.1,NA,3.5.0
texreg,/Users/jenny/resources/R/library,1.36.23,NA,3.5.0
TH.data,/Users/jenny/resources/R/library,1.0-9,NA,3.5.0
threejs,/Users/jenny/resources/R/library,0.3.1,NA,3.5.0
tibble,/Users/jenny/resources/R/library,2.0.0,NA,3.5.2
tidygraph,/Users/jenny/resources/R/library,1.1.1,NA,3.5.0
tidyr,/Users/jenny/resources/R/library,0.8.2,NA,3.5.0
tidyselect,/Users/jenny/resources/R/library,0.2.5,NA,3.5.0
tidytemplate,/Users/jenny/resources/R/library,0.0.0.9000,NA,3.5.1
tidyverse,/Users/jenny/resources/R/library,1.2.1,NA,3.5.0
tikzDevice,/Users/jenny/resources/R/library,0.12,NA,3.5.0
timeDate,/Users/jenny/resources/R/library,3043.102,NA,3.5.0
tinytex,/Users/jenny/resources/R/library,0.10,NA,3.5.2
tnam,/Users/jenny/resources/R/library,1.6.5,NA,3.5.0
travis,/Users/jenny/resources/R/library,0.2.11.9000,NA,3.5.1
trimcluster,/Users/jenny/resources/R/library,0.1-2.1,NA,3.5.0
trust,/Users/jenny/resources/R/library,0.1-7,NA,3.5.0
tseries,/Users/jenny/resources/R/library,0.10-46,NA,3.5.0
tsibble,/Users/jenny/resources/R/library,0.5.3,NA,3.5.0
TTR,/Users/jenny/resources/R/library,0.23-4,NA,3.5.0
tweenr,/Users/jenny/resources/R/library,1.0.0,NA,3.5.0
ucminf,/Users/jenny/resources/R/library,1.1-4,NA,3.5.0
units,/Users/jenny/resources/R/library,0.6-2,NA,3.5.0
urca,/Users/jenny/resources/R/library,1.3-0,NA,3.5.0
uroot,/Users/jenny/resources/R/library,2.0-9,NA,3.5.0
usethis,/Users/jenny/resources/R/library,1.4.0.9000,NA,3.5.1
utf8,/Users/jenny/resources/R/library,1.1.4,NA,3.5.0
uuid,/Users/jenny/resources/R/library,0.1-2,NA,3.5.0
V8,/Users/jenny/resources/R/library,1.5,NA,3.5.0
vcd,/Users/jenny/resources/R/library,1.4-4,NA,3.5.0
vctrs,/Users/jenny/resources/R/library,0.1.0.9000,NA,3.5.1
vegan,/Users/jenny/resources/R/library,2.5-3,NA,3.5.0
viridis,/Users/jenny/resources/R/library,0.5.1,NA,3.5.0
viridisLite,/Users/jenny/resources/R/library,0.3.0,NA,3.5.0
visNetwork,/Users/jenny/resources/R/library,2.0.4,NA,3.5.0
webshot,/Users/jenny/resources/R/library,0.5.1,NA,3.5.0
